Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	547	257064	257304	240	Bianca	1	0,66503	0,49756	3,05473
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	548	257364	257524	160	Carl(a)	1	0,70917	0,31037	3,05985
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	549	257604	257944	340	Bianca	1	0,45758	0,29183	3,3383
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	550	257984	258224	240	Carl(a)	1	0,67571	0,25257	3,25961
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	551	258563	259183	620	Anna	1	0,31942	0,22904	3,58142
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	552	259343	259683	340	Bianca	1	0,60148	0,18156	3,6582
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	553	259723	259843	120	Classroom_Others	1	0,51328	0,2338	3,61866
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	554	259883	260023	140	Bianca	1	0,61981	0,20435	3,74688
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	555	260382	261282	899	Bianca	1	0,45219	0,30801	3,6211
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	556	261342	261442	100	Carl(a)	1	0,66818	0,31036	3,33551
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	557	261462	261562	100	Carl(a)	1	0,61112	0,22334	3,54663
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	558	261622	261702	80		0	0,60513	0,33211	3,06629
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	559	261821	261901	80	Bianca	1	0,52083	0,26316	3,75501
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	560	261921	262481	560	Bianca	1	0,48943	0,26824	3,62398
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	561	262521	262641	120	Classroom_Others	1	0,72563	0,23446	3,37833
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	562	262661	262741	80	Classroom_Others	1	0,68238	0,25863	3,22701
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	563	262821	262921	100	Bianca	1	0,51262	0,28537	3,46443
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	564	262941	263141	200	Bianca	1	0,56214	0,22973	3,53235
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	565	263181	263520	340	Disruptive_Person,Nametag_Bianca	1	0,5336	0,42153	3,63402
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	566	263620	264400	780	Bianca,Disruptive_Person	1	0,54	0,28242	3,87322
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	567	264480	265819	1339	Bianca,Disruptive_Person	1	0,51325	0,31019	3,72217
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	568	265939	267038	1099	Bianca	1	0,51501	0,34303	3,88516
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	569	267198	267278	80	Classroom_Others	1	0,14765	0,1833	3,94196
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	570	267358	267438	80	Classroom_Others	1	0,25651	0,24802	3,88049
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	571	267718	267798	80	Board_Screen	1	0,23294	0,2342	3,8852
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	572	267878	268058	180	Board_Screen	0,77781	0,25793	0,32422	3,66352
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	573	268098	268278	180	Board_Screen	1	0,37296	0,28005	3,46379
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	574	268358	268717	360	Board_Screen	1	0,32141	0,27877	3,3585
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	575	268937	269017	80	Classroom_Others	1	0,73186	0,40096	3,45672
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	576	269077	269337	260	Anna	1	0,53153	0,35821	3,53909
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	577	269797	269957	160	Board_Screen	1	0,31129	0,43525	3,65469
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	578	269977	270516	540	Board_Screen	1	0,42585	0,42279	3,50785
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	579	270556	270696	140	Board_Screen	1	0,3435	0,30151	3,39686
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	580	270716	270896	180	Board_Screen	1	0,28763	0,30807	3,35776
