Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	999	639470	639630	160	Nametag_Bianca	1	0,5048	0,42891	3,78018										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1724	639770	639810	40							115,08	117,53			Bianca			0,393	0,30345
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	1000	639810	641489	1679	Bianca	1	0,393	0,30345	3,95855										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1725	641489	641509	20							119,62	119,62		Bianca		0,393	0,30345		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1726	641649	641689	40							381,22	381,22							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1727	641729	641809	80							121,93	148,62			Carl(a)			0,68987	0,28496
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	1001	641809	641949	140	Carl(a)	1	0,68987	0,28496	4,04323										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1728	641949	641969	20						109,91	168,67	168,67	5,17	Carl(a)	Carl(a)	0,68987	0,28496	0,66438	0,21458
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	1002	641969	642069	100	Carl(a)	1	0,66438	0,21458	4,08301										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1729	642069	642088	20						66,3	110,89	110,89	2,71	Carl(a)	Carl(a)	0,66438	0,21458	0,68534	0,16684
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	1003	642088	642268	180	Carl(a)	1	0,68534	0,16684	4,0568										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1730	642268	642288	20						238,12	100,58	100,58	5,57	Carl(a)	Carl(a)	0,68534	0,16684	0,63311	0,25081
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	1004	642288	642608	320	Carl(a)	1	0,63311	0,25081	4,15795										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1731	642608	642648	40						209,2	148,3	178,02	10,45	Carl(a)	Material_Students	0,63311	0,25081	0,51595	0,3163
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	1005	642648	643228	580	Material_Students	1	0,51595	0,3163	4,18811										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1732	643228	643248	20							271,58	271,58		Material_Students		0,51595	0,3163		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1733	643328	643388	60							141,38	142,65			Material_Students			0,5549	0,37599
